PROPERTY.STREET.ADDRESS.OR.STOREFRONT.ADDRESS,LATITUDE,LONGITUDE,PRIMARY.BUSINESS.ACTIVITY,COMMUNITY.BOARD,IMPACTED
17 MOTT STREET,40.7142636,-73.999008,RETAIL,103.0,False
336 BROADWAY,40.7163688,-74.0040763,RETAIL,101.0,False
101 LEONARD STREET,40.716811,-74.003539,RETAIL,101.0,True
364 BROADWAY,40.7173871,-74.0030915,RETAIL,101.0,True
368 Broadway,40.7174777,-74.0030158,RETAIL,101.0,True
80 Lafayette,40.7171758,-74.0020959,RETAIL,101.0,False
343 BROADWAY,40.7169122,-74.0046715,RETAIL,101.0,True
66 LEONARD STREET,40.717349,-74.005649,RETAIL,101.0,False
79 WORTH STREET,40.71708,-74.0052,RETAIL,101.0,False
83 LEONARD STREET,40.7174886,-74.0047726,RETAIL,101.0,True
79-81 Leonard street,40.7175133,-74.0049097,RETAIL,101.0,True
253 CHURCH STREET,40.7178619,-74.0053245,RETAIL,101.0,False
253 CHURCH STREET,40.7178619,-74.0053245,RETAIL,101.0,False
89 FRANKLIN STREET,40.7178756,-74.0049746,RETAIL,101.0,False
87 FRANKLIN STREET,40.7178427,-74.0049025,RETAIL,101.0,False
77 FRANKLIN STREET,40.7177109,-74.0045273,RETAIL,101.0,True
74 FRANKLIN STREET,40.7179964,-74.0042279,RETAIL,101.0,True
78 FRANKLIN STREET,40.7180705,-74.0043866,RETAIL,101.0,True
82 Franklin,40.7181391,-74.0045382,RETAIL,101.0,False
275 CHURCH STREET,40.718474,-74.0048159,RETAIL,101.0,False
43 white Street,40.7184026,-74.004383,RETAIL,101.0,False
43 white Street,40.7184026,-74.004383,RETAIL,101.0,False
43 white Street,40.7184026,-74.004383,RETAIL,101.0,False
365 BROADWAY,40.7177192,-74.0037914,RETAIL,101.0,True
68 Franklin,40.7177192,-74.0037914,RETAIL,101.0,True
39 Worth Street,40.7176449,-74.0069551,RETAIL,101.0,True
41 Worth Street,40.7176449,-74.0069551,RETAIL,101.0,True
177 WEST BROADWAY,40.7178398,-74.0070958,RETAIL,101.0,True
56 LEONARD STREET,40.71765,-74.0062,RETAIL,101.0,True
104 FRANKLIN STREET,40.7186276,-74.0055807,RETAIL,101.0,False
90 Hudson Street,40.7186961,-74.0084956,RETAIL,101.0,False
100 Hudson Street,40.7190666,-74.0084199,RETAIL,101.0,False
149 FRANKLIN STREET,40.7190255,-74.0077597,RETAIL,101.0,False
349 GREENWICH STREET,40.718562,-74.010104,RETAIL,101.0,False
24 HARRISON STREET,40.7189073,-74.0099711,RETAIL,101.0,False
186 FRANKLIN STREET,40.7195935,-74.0096357,RETAIL,101.0,False
387 Greenwich Street,40.72042,-74.009766,RETAIL,101.0,False
393 Greenwich Street,40.72042,-74.009766,RETAIL,101.0,False
160 Franklin St,40.7194509,-74.0081963,RETAIL,101.0,True
228 WEST BROADWAY,40.7195361,-74.0064394,RETAIL,101.0,False
220 WEST BROADWAY,40.719306,-74.006591,RETAIL,101.0,False
222 WEST BROADWAY,40.719306,-74.006591,RETAIL,101.0,False
220 WEST BROADWAY,40.719306,-74.006591,RETAIL,101.0,False
32 NORTH MOORE STREET,40.71966,-74.0077,RETAIL,101.0,False
"111 Murray Street, Apt 29W",40.719693,-74.008009,RETAIL,101.0,False
P.O. BOX 656,40.72005,-74.0076,RETAIL,101.0,False
35 NORTH MOORE STREET,40.720206,-74.007796,RETAIL,101.0,False
25 NORTH MOORE STREET,40.720003,-74.007136,RETAIL,101.0,False
54 WHITE STREET,40.7185756,-74.0037085,RETAIL,101.0,False
293 Church Street,40.7190614,-74.0043506,RETAIL,101.0,False
49 WALKER STREET,40.7188747,-74.0036255,RETAIL,101.0,True
40 WALKER STREET,40.7194182,-74.0037482,RETAIL,101.0,True
315 CHURCH STREET,40.7197723,-74.0037771,RETAIL,101.0,False
1-3 ELIZABETH STREET,40.7155454,-73.9977418,RETAIL,103.0,False
315 CHURCH STREET,40.7197723,-74.0037771,RETAIL,101.0,False
60 WALKER STREET,40.7189434,-74.0027994,RETAIL,101.0,True
