job__,Age,lat,long,c_b_no,Height,Color,Around_Store,Store_Num
X00909869-I1,190.0,40.750422,-73.996328,204.0,31.334332833583208,"[210, 196, 174, 255]",False,0
X00910305-I1,181.0,40.876532,-73.89945,208.0,29.985007496251875,"[210, 196, 174, 255]",False,0
X00910976-I1,184.0,40.611057,-73.764269,204.0,30.434782608695652,"[210, 196, 174, 255]",False,0
X00911024-I1,184.0,40.717737,-74.002877,212.0,30.434782608695652,"[210, 196, 174, 255]",False,0
X00911026-I1,184.0,40.750422,-73.996328,212.0,30.434782608695652,"[210, 196, 174, 255]",False,0
X00911066-I1,185.0,40.833655,-73.889985,203.0,30.584707646176913,"[210, 196, 174, 255]",False,0
X00911086-I1,188.0,40.870949,-73.903668,208.0,31.03448275862069,"[210, 196, 174, 255]",False,0
X00911268-I1,185.0,40.750422,-73.996328,205.0,30.584707646176913,"[210, 196, 174, 255]",False,0
X00911537-I1,169.0,40.855625,-73.868521,211.0,28.185907046476764,"[210, 196, 174, 255]",False,0
X00912737-I1,182.0,40.717737,-74.002877,212.0,30.134932533733135,"[210, 196, 174, 255]",False,0
X00913061-I1,181.0,40.862015,-73.866436,211.0,29.985007496251875,"[210, 196, 174, 255]",False,0
X00913066-I1,176.0,40.869704,-73.913619,212.0,29.23538230884558,"[210, 196, 174, 255]",False,0
X00913479-I1,176.0,40.750422,-73.996328,205.0,29.23538230884558,"[210, 196, 174, 255]",False,0
X00913490-I1,149.0,40.820095,-73.893541,202.0,25.187406296851574,"[210, 196, 174, 255]",False,0
X00913496-I1,182.0,40.750422,-73.996328,201.0,30.134932533733135,"[210, 196, 174, 255]",False,0
X00914096-I1,178.0,40.750422,-73.996328,211.0,29.535232383808093,"[210, 196, 174, 255]",False,0
X00914179-I1,181.0,40.579445,-74.008613,208.0,29.985007496251875,"[210, 196, 174, 255]",False,0
X00914399-I1,174.0,40.750422,-73.996328,203.0,28.93553223388306,"[210, 196, 174, 255]",False,0
X00914451-I1,164.0,40.750422,-73.996328,211.0,27.436281859070466,"[210, 196, 174, 255]",False,0
X00914587-I1,143.0,40.816504,-73.888318,202.0,24.28785607196402,"[210, 196, 174, 255]",False,0
X00915503-I1,160.0,40.816368,-73.90208,202.0,26.836581709145428,"[210, 196, 174, 255]",False,0
X00915523-I1,175.0,40.816376,-73.902053,202.0,29.08545727136432,"[210, 196, 174, 255]",False,0
X00915958-I1,176.0,40.831184,-73.907302,203.0,29.23538230884558,"[210, 196, 174, 255]",False,0
X00915980-I1,100.0,40.750422,-73.996328,209.0,17.841079460269867,"[210, 196, 174, 255]",False,0
X00916003-I1,169.0,40.750422,-73.996328,203.0,28.185907046476764,"[210, 196, 174, 255]",False,0
X00916301-I1,174.0,40.866241,-73.886414,207.0,28.93553223388306,"[210, 196, 174, 255]",False,0
X00916393-I1,164.0,40.750422,-73.996328,210.0,27.436281859070466,"[210, 196, 174, 255]",False,0
X00916887-I1,175.0,40.750422,-73.996328,206.0,29.08545727136432,"[210, 196, 174, 255]",False,0
X00918323-I1,156.0,40.750422,-73.996328,206.0,26.23688155922039,"[210, 196, 174, 255]",False,0
X00918840-I1,169.0,40.850432,-73.91531,205.0,28.185907046476764,"[210, 196, 174, 255]",False,0
X00918843-I1,169.0,40.825423,-73.867333,209.0,28.185907046476764,"[210, 196, 174, 255]",False,0
X00919139-I1,164.0,40.750422,-73.996328,209.0,27.436281859070466,"[210, 196, 174, 255]",False,0
X00919585-I1,162.0,40.750422,-73.996328,206.0,27.136431784107945,"[210, 196, 174, 255]",False,0
X00919709-I1,167.0,40.750422,-73.996328,210.0,27.886056971514243,"[210, 196, 174, 255]",False,0
X00919879-I1,118.0,40.750422,-73.996328,201.0,20.539730134932533,"[210, 196, 174, 255]",False,0
X00920045-I1,169.0,40.825563,-73.940755,201.0,28.185907046476764,"[210, 196, 174, 255]",False,0
X00920771-I1,167.0,40.878836,-73.906058,208.0,27.886056971514243,"[210, 196, 174, 255]",False,0
X00921097-I1,167.0,40.750422,-73.996328,204.0,27.886056971514243,"[210, 196, 174, 255]",False,0
X00921292-I1,155.0,40.85005,-73.943003,208.0,26.08695652173913,"[210, 196, 174, 255]",False,0
X00921297-I1,164.0,40.819883,-73.937232,201.0,27.436281859070466,"[210, 196, 174, 255]",False,0
X00921475-I1,167.0,40.851486,-73.932827,205.0,27.886056971514243,"[210, 196, 174, 255]",False,0
X00921992-I1,45.0,40.750422,-73.996328,209.0,9.595202398800598,"[210, 196, 174, 255]",False,0
X00922263-I1,155.0,40.826659,-73.918041,204.0,26.08695652173913,"[210, 196, 174, 255]",False,0
X00922277-I1,160.0,40.750422,-73.996328,208.0,26.836581709145428,"[210, 196, 174, 255]",False,0
X00922597-I1,163.0,40.71378,-73.932677,204.0,27.286356821589205,"[210, 196, 174, 255]",False,0
X00922843-I1,161.0,40.864051,-73.904588,207.0,26.986506746626688,"[210, 196, 174, 255]",False,0
X00923125-I1,161.0,40.845559,-73.937111,205.0,26.986506746626688,"[210, 196, 174, 255]",False,0
X00923176-I1,162.0,40.750422,-73.996328,207.0,27.136431784107945,"[210, 196, 174, 255]",False,0
X00923940-I1,161.0,40.775889,-73.982008,208.0,26.986506746626688,"[210, 196, 174, 255]",False,0
X00924175-I1,156.0,40.885987,-73.902622,208.0,26.23688155922039,"[210, 196, 174, 255]",False,0
X00924227-I1,155.0,40.750422,-73.996328,205.0,26.08695652173913,"[210, 196, 174, 255]",False,0
X00924643-I1,146.0,40.750422,-73.996328,212.0,24.737631184407796,"[210, 196, 174, 255]",False,0
X00924689-I1,148.0,40.750422,-73.996328,212.0,25.037481259370313,"[210, 196, 174, 255]",False,0
X00924702-I1,147.0,40.750422,-73.996328,212.0,24.887556221889053,"[210, 196, 174, 255]",False,0
X00924879-I1,157.0,40.750422,-73.996328,210.0,26.38680659670165,"[210, 196, 174, 255]",False,0
X00925025-I1,157.0,40.750422,-73.996328,207.0,26.38680659670165,"[210, 196, 174, 255]",False,0
X00925502-I1,136.0,40.750422,-73.996328,206.0,23.238380809595203,"[210, 196, 174, 255]",False,0
X00925725-I1,155.0,40.766307,-73.963353,203.0,26.08695652173913,"[210, 196, 174, 255]",False,0
X00925936-I1,156.0,40.869699,-73.885382,207.0,26.23688155922039,"[210, 196, 174, 255]",False,0
X00925989-I1,154.0,40.77387,-73.961667,206.0,25.937031484257872,"[210, 196, 174, 255]",False,0
X00926032-I1,156.0,40.673091,-73.963029,203.0,26.23688155922039,"[210, 196, 174, 255]",False,0
X00926064-I1,154.0,40.850891,-73.923399,205.0,25.937031484257872,"[210, 196, 174, 255]",False,0
X00926086-I1,156.0,40.850952,-73.923353,205.0,26.23688155922039,"[210, 196, 174, 255]",False,0
X00926092-I1,153.0,40.851093,-73.923247,205.0,25.787106446776612,"[210, 196, 174, 255]",False,0
X00926101-I1,156.0,40.851194,-73.923172,205.0,26.23688155922039,"[210, 196, 174, 255]",False,0
